code,rank,country, gdp 
COD,94,"Congo, Dem. Rep.",37642
BOL,95,Bolivia,37509
CIV,96,Côte d'Ivoire,37353
BHR,97,Bahrain,35433
CMR,98,Cameroon,34923
YEM,99,"Yemen, Rep.",31268
LVA,100,Latvia,30463
EST,101,Estonia,26612
UGA,102,Uganda,25995
ZMB,103,Zambia,25868
NPL,104,Nepal,24880
SLV,105,El Salvador,24805
ISL,106,Iceland,24488
HND,107,Honduras,22979
KHM,108,Cambodia,22158
TTO,109,Trinidad and Tobago,22079
CYP,110,Cyprus,22054
ZWE,111,Zimbabwe,22041
SEN,112,Senegal,21070
PNG,113,Papua New Guinea,20536
AFG,114,Afghanistan,19544
BIH,115,Bosnia and Herzegovina,18055
BWA,116,Botswana,17407
LAO,117,Lao PDR,16853
MLI,118,Mali,15334
GEO,119,Georgia,15081
GAB,120,Gabon,15014
JAM,121,Jamaica,14781
PSE,122,West Bank and Gaza,14498
NIC,123,Nicaragua,13814
MUS,124,Mauritius,13266
NAM,125,Namibia,13254
ALB,126,Albania,13039
MOZ,127,Mozambique,12646
MLT,128,Malta,12518
BFA,129,Burkina Faso,12323
GNQ,130,Equatorial Guinea,12294
BHS,131,"Bahamas, The",12162
BRN,132,Brunei Darussalam,12128
ARM,133,Armenia,11537
MDG,134,Madagascar,11500
MNG,135,Mongolia,11434
MKD,136,North Macedonia,11280
GIN,137,Guinea,10473
TCD,138,Chad,9871
BEN,139,Benin,9247
RWA,140,Rwanda,9135
COG,141,"Congo, Rep.",8701
HTI,142,Haiti,8408
MDA,143,Moldova,8128
NER,144,Niger,8120
KGZ,145,Kyrgyz Republic,7565
XKX,146,Kosovo,7245
TJK,147,Tajikistan,7146
SOM,148,Somalia,7052
IMN,149,Isle of Man,6593
MCO,150,Monaco,6468
MWI,151,Malawi,6303
LIE,152,Liechtenstein,6215
GUM,153,Guam,5859
FJI,154,Fiji,5061
MRT,155,Mauritania,5025
MDV,156,Maldives,4866
MNE,157,Montenegro,4845
TGO,158,Togo,4758
BRB,159,Barbados,4674
SWZ,160,Eswatini,4434
SLE,161,Sierra Leone,3775
VIR,162,Virgin Islands (U.S.),3759
GUY,163,Guyana,3621
LBR,164,Liberia,3285
BDI,165,Burundi,3172
AND,166,Andorra,3013
SUR,167,Suriname,2996
TLS,168,Timor-Leste,2955
SSD,169,South Sudan,2904
GRL,170,Greenland,2706
ABW,171,Aruba,2701
LSO,172,Lesotho,2578
BTN,173,Bhutan,2528
FRO,174,Faroe Islands,2477
CAF,175,Central African Republic,1949
BLZ,176,Belize,1863
DJI,177,Djibouti,1845
CPV,178,Cabo Verde,1773
LCA,179,St. Lucia,1738
SMR,180,San Marino,1633
MNP,181,Northern Mariana Islands,1593
ATG,182,Antigua and Barbuda,1510
SYC,183,Seychelles,1498
GMB,184,"Gambia, The",1489
GNB,185,Guinea-Bissau,1347
SLB,186,Solomon Islands,1303
GRD,187,Grenada,1127
COM,188,Comoros,1068
KNA,189,St. Kitts and Nevis,992
VUT,190,Vanuatu,863
WSM,191,Samoa,841
VCT,192,St. Vincent and the Grenadines,785
ASM,193,American Samoa,634
DMA,194,Dominica,497
TON,195,Tonga,428
STP,196,São Tomé and Principe,393
FSM,197,"Micronesia, Fed. Sts.",336
PLW,198,Palau,290
MHL,199,Marshall Islands,204
KIR,200,Kiribati,186
NRU,201,Nauru,114
TUV,202,Tuvalu,40
BMU,,Bermuda,
VGB,,British Virgin Islands,
CYM,,Cayman Islands,
CHI,,Channel Islands,
CUW,,Curaçao,
ERI,,Eritrea,
PYF,,French Polynesia,
GIB,,Gibraltar,
PRK,,"Korea, Dem. People's Rep.",
NCL,,New Caledonia,
SXM,,Sint Maarten (Dutch part),
MAF,,St. Martin (French part),
SYR,,Syrian Arab Republic,
TCA,,Turks and Caicos Islands,
VEN,,"Venezuela, RB",
